A;B;shapetime;ms;gar;interval;parson
deut4404;deut4438;0,08961311;0,2634760206;0,4171982759;0,2692307692;0,4423076923
deut4404;deut4472;-0,03424877;0,4646641523;0,4209375;0,358974359;0,5641025641
deut4404;deut4473;0,04002001;0,6023108238;0,520625;0,38;0,48
deut4405;deut4405;6,5514;1;1;1;1
deut4405;deut4409;-0,07343951;0,1141674229;0,3375986842;0,296875;0,421875
deut4405;deut4426;-0,0311054;0,5376642036;0,3603571429;0,3333333333;0,5416666667
deut4405;deut4444;-0,07343951;0,1800167625;0,2947916667;0,2307692308;0,3461538462
deut4405;deut4447;-0,07343951;0,2621677443;0,487421875;0,2419354839;0,435483871
deut4405;deut4464;-0,07343951;0,4502514368;0,32375;0,2142857143;0,3714285714
deut4405;deut4472;-0,06162431;0,5772988506;0,20925;0,2564102564;0,5384615385
deut4405;deut4475;-0,03128536;0,1305226293;0,2555859375;0,2282608696;0,3152173913
deut4405;deut4478;0,39734525;0,6325431034;0,3635;0,4117647059;0,5882352941
deut4405;deut4480;0,11939002;0,0571703169;0,2797466216;0,2040816327;0,306122449
deut4406;deut4401;-0,059269;0,329699121;0,4088235294;0,4473684211;0,5526315789
deut4406;deut4406;6,5514;1;1;1;1
deut4406;deut4428;-0,08442302;0,3090982082;0,3791911765;0,425;0,6
deut4406;deut4443;0,16217074;0,3767325896;0,4503676471;0,2978723404;0,5106382979
deut4406;deut4453;0,05796474;0,2608392495;0,3676470588;0,3421052632;0,5
deut4406;deut4459;0,12956107;0,4960249042;0,555875;0,32;0,48
deut4406;deut4471;-0,0372548;0,5438218391;0,4227205882;0,3111111111;0,4111111111
deut4406;deut4473;0,08815883;0,5724095673;0,4908823529;0,44;0,54
deut4406;deut4477;-0,02491041;0,584474307;0,4449264706;0,4042553191;0,6170212766
deut4406;deut4482;0,03503449;0,3862407032;0,4275;0,4090909091;0,5681818182
deut4407;deut4401;0,15204584;0,2561844078;0,4203804348;0,2527472527;0,2747252747
deut4407;deut4407;6,5514;1;1;1;1
deut4407;deut4421;0,17368555;0,3271333083;0,38625;0,2087912088;0,2747252747
deut4407;deut4436;-0,03548834;0,325962019;0,470326087;0,2417582418;0,3406593407
deut4407;deut4453;-0,02214282;0,2095827086;0,35875;0,2197802198;0,3186813187
deut4407;deut4454;-0,00047548;0,2119252874;0,3748369565;0,2197802198;0,3076923077
deut4407;deut4458;0,11644444;0,4729666417;0,4935326087;0,3406593407;0,5934065934
deut4407;deut4459;0,05922187;0,6127514368;0,5563333333;0,3296703297;0,5604395604
deut4407;deut4460;0,02308508;0,6171601699;0,5033152174;0,2857142857;0,5274725275
deut4407;deut4461;0,04053067;0,5935632184;0,4312;0,2721893491;0,4674556213
deut4408;deut4399;0,01419551;0,5723778736;0,4233333333;0,2461538462;0,6153846154
deut4408;deut4400;-0,01800354;0,6444649699;0,46125;0,1958762887;0,5567010309
deut4408;deut4408;6,5514;1;1;1;1
deut4408;deut4414;0,00940242;0,6842472861;0,5158333333;0,1333333333;0,5333333333
deut4408;deut4417;-0,00979214;0,2507183908;0,4408514493;0,1893939394;0,4166666667
deut4408;deut4419;0,01526078;0,4807231801;0,5030555556;0,2063492063;0,6031746032
deut4408;deut4420;0,01526078;0,4742377075;0,4842361111;0,21875;0,59375
deut4408;deut4445;-0,00979214;0,2869372605;0,4191666667;0,2368421053;0,4605263158
deut4408;deut4481;-0,02102853;0,5934307152;0,4046759259;0,203539823;0,4690265487
deut4408;deut4483;-0,00979214;0,4326907727;0,5039236111;0,2567567568;0,5675675676
deut4409;deut4409;6,5514;1;1;1;1
deut4409;deut4417;0,14325536;0,5283399967;0,5622463768;0,3181818182;0,4393939394
deut4409;deut4424;0,44328788;0,1033726558;0,2241447368;0,296875;0,390625
deut4409;deut4438;0,09354698;0,6901372505;0,6460855263;0,359375;0,625
deut4409;deut4449;0,04894322;0,5453247883;0,4720394737;0,2916666667;0,475
deut4409;deut4450;0,04689072;0,5401259074;0,481875;0,3181818182;0,5272727273
deut4409;deut4455;-0,04195563;0,5353145796;0,6753618421;0,28125;0,4375
deut4409;deut4456;0,29307436;0,0998279643;0,2679934211;0,28125;0,40625
deut4409;deut4463;0,19741212;0,108968542;0,3617105263;0,3125;0,578125
deut4409;deut4476;0,04783404;0,2475612523;0,4945394737;0,296875;0,53125
deut4410;deut4399;0,01072808;0,5422527223;0,5361842105;0,2307692308;0,5538461538
deut4410;deut4410;6,5514;1;1;1;1
deut4410;deut4417;-0,01536708;0,2639097118;0,4393297101;0,2121212121;0,4015151515
deut4410;deut4440;0,04401867;0,6845508167;0,5236842105;0,2280701754;0,5087719298
deut4410;deut4445;-0,01536708;0,2704174229;0,4303289474;0,25;0,4868421053
deut4410;deut4446;0,06446458;0,3770984574;0,5561184211;0,3214285714;0,5357142857
deut4410;deut4451;-0,0019911;0,5625756201;0,6118421053;0,3571428571;0,5892857143
deut4410;deut4466;0,0687651;0,2634328516;0,4847058824;0,3;0,48
deut4410;deut4483;-0,01536708;0,4649185824;0,5653125;0,2567567568;0,527027027
deut4410;deut4486;0,02501373;0,3391182698;0,4942105263;0,2678571429;0,5357142857
deut4411;deut4409;0,15386942;0,152695856;0,3380592105;0,15625;0,375
deut4411;deut4411;6,5514;1;1;1;1
deut4411;deut4416;0,18599695;0,4431273946;0,3439583333;0,1594202899;0,347826087
deut4411;deut4422;0,09686984;0,4670737548;0,4921875;0,125;0,525
deut4411;deut4424;0,06684762;0,6008141762;0,3475;0,12;0,4
deut4411;deut4429;0,19559052;0,545561101;0,4089473684;0,1785714286;0,5714285714
deut4411;deut4437;0,16817237;0,5468301006;0,31359375;0,1481481481;0,4259259259
deut4411;deut4447;0,06447271;0,3604076868;0,455625;0,1451612903;0,3709677419
deut4411;deut4456;0,12673726;0,5170019157;0,2510416667;0,1724137931;0,5172413793
deut4411;deut4464;0,09943567;0,5681573276;0,3309375;0,1571428571;0,3428571429
deut4412;deut4398;-0,06672953;0,4474329502;0,5696;0,3235294118;0,5441176471
deut4412;deut4404;-0,13206232;0,5843710089;0,5329166667;0,2708333333;0,5625
deut4412;deut4412;6,5514;1;1;1;1
deut4412;deut4426;-0,0635276;0,6391682631;0,4045833333;0,2916666667;0,6041666667
deut4412;deut4429;0,11368696;0,5862447066;0,2464473684;0,3333333333;0,5833333333
deut4412;deut4430;0,08317843;0,3004869093;0,4311111111;0,3333333333;0,5833333333
deut4412;deut4437;-0,04130577;0,5990181992;0,5402777778;0,3148148148;0,6111111111
deut4412;deut4446;-0,07757458;0,5650143678;0,4377777778;0,3125;0,6041666667
deut4412;deut4472;-0,0781153;0,4301564496;0,4331944444;0,3125;0,6875
deut4412;deut4491;0,09991221;0,5940293742;0,4351388889;0,3125;0,6041666667
deut4413;deut4409;-0,04148354;0,2065940714;0,3455592105;0,296875;0,671875
deut4413;deut4413;6,5514;1;1;1;1
deut4413;deut4416;-0,05366899;0,5316091954;0,2722916667;0,2753623188;0,5652173913
deut4413;deut4434;-0,0693352;0,4251676245;0,3511111111;0,2790697674;0,5581395349
deut4413;deut4439;-0,01809972;0,1511738235;0,3488443396;0,369047619;0,5476190476
deut4413;deut4464;-0,04804783;0,5325670498;0,3165277778;0,2285714286;0,5857142857
deut4413;deut4470;-0,01029056;0,3110233078;0,3266666667;0,3389830508;0,593220339
deut4413;deut4474;-0,04952438;0,6220922277;0,3013095238;0,2881355932;0,4745762712
deut4413;deut4475;0,02712258;0,2489785381;0,3190234375;0,2826086957;0,4456521739
deut4413;deut4479;-0,08468083;0,4908764368;0,3479166667;0,2596153846;0,5096153846
deut4414;deut4414;6,5514;1;1;1;1
deut4414;deut4419;0,11310633;0,5385536398;0,471;0,3015873016;0,5555555556
deut4414;deut4420;0,11310633;0,5241858238;0,48725;0,28125;0,5625
deut4414;deut4424;0,14652411;0,2570881226;0,2913333333;0,3;0,3833333333
deut4414;deut4438;0,24713014;0,4745095125;0,4672844828;0,3833333333;0,6
deut4414;deut4449;0,25773542;0,545677682;0,4650520833;0,3416666667;0,475
deut4414;deut4455;0,13351433;0,568621939;0,52125;0,3333333333;0,4833333333
deut4414;deut4456;0,12398194;0,2331417625;0,26375;0,2833333333;0,45
deut4414;deut4465;0,0832333;0,3838601533;0,3758333333;0,3414634146;0,5487804878
deut4414;deut4475;0,07160671;0,4221668463;0,3663671875;0,3804347826;0,4891304348
deut4415;deut4414;-0,01808426;0,2212643678;0,3694166667;0,3833333333;0,5833333333
deut4415;deut4415;6,5514;1;1;1;1
deut4415;deut4438;-0,01808426;0,1119698771;0,3534051724;0,3653846154;0,5576923077
deut4415;deut4448;-0,01686015;0,1641522989;0,29040625;0,2613636364;0,4659090909
deut4415;deut4449;-0,02075375;0,1405352011;0,2296354167;0,2333333333;0,3583333333
deut4415;deut4457;0,05160581;0,1412835249;0,3203385417;0,2903225806;0,4193548387
