A;B;shapetime;ms;gar;interval;parson
deut4404;deut4473;0,04002001;0,4661458333;0,203125;0,38;0,48
deut4405;deut4405;6,5514;1;1;1;1
deut4405;deut4409;-0,07343951;0,1036184211;0,0294117647;0,296875;0,421875
deut4405;deut4426;-0,0311054;0,3125;0,0625;0,3333333333;0,5416666667
deut4405;deut4444;-0,07343951;0,1614583333;0;0,2307692308;0,3461538462
deut4405;deut4447;-0,07343951;0,21484375;0,08984375;0,2419354839;0,435483871
deut4405;deut4464;-0,07343951;0,2578125;0,0625;0,2142857143;0,3714285714
deut4405;deut4472;-0,06162431;0,2625;0,010989011;0,2564102564;0,5384615385
deut4405;deut4475;-0,03128536;0,10546875;0,0600775194;0,2282608696;0,3152173913
deut4405;deut4478;0,39734525;0,24375;0,0119047619;0,4117647059;0,5882352941
deut4405;deut4480;0,11939002;0,0481418919;0,0343383585;0,2040816327;0,306122449
deut4406;deut4401;-0,059269;0,2720588235;0,1811594203;0,4473684211;0,5526315789
deut4406;deut4406;6,5514;1;1;1;1
deut4406;deut4428;-0,08442302;0,2003676471;0,1007194245;0,425;0,6
deut4406;deut4443;0,16217074;0,2205882353;0,0138888889;0,2978723404;0,5106382979
deut4406;deut4453;0,05796474;0,1819852941;0,0971223022;0,3421052632;0,5
deut4406;deut4459;0,12956107;0,3520833333;0,1354166667;0,32;0,48
deut4406;deut4471;-0,0372548;0,1617647059;0,003058104;0,3111111111;0,4111111111
deut4406;deut4473;0,08815883;0,3694852941;0,0072463768;0,44;0,54
deut4406;deut4477;-0,02491041;0,3621323529;0,0067567568;0,4042553191;0,6170212766
deut4406;deut4482;0,03503449;0,25;0,0362318841;0,4090909091;0,5681818182
deut4407;deut4401;0,15204584;0,2445652174;0,214673913;0,2527472527;0,2747252747
deut4407;deut4407;6,5514;1;1;1;1
deut4407;deut4421;0,17368555;0,277173913;0,125;0,2087912088;0,2747252747
deut4407;deut4436;-0,03548834;0,2717391304;0,1277173913;0,2417582418;0,3406593407
deut4407;deut4453;-0,02214282;0,1902173913;0,160326087;0,2197802198;0,3186813187
deut4407;deut4454;-0,00047548;0,1983695652;0,1494565217;0,2197802198;0,3076923077
deut4407;deut4458;0,11644444;0,3831521739;0,0788043478;0,3406593407;0,5934065934
deut4407;deut4459;0,05922187;0,4;0;0,3296703297;0,5604395604
deut4407;deut4460;0,02308508;0,3845108696;0,0597826087;0,2857142857;0,5274725275
deut4407;deut4461;0,04053067;0,23875;0;0,2721893491;0,4674556213
deut4408;deut4399;0,01419551;0,3923611111;0,009375;0,2461538462;0,6153846154
deut4408;deut4400;-0,01800354;0,3854166667;0;0,1958762887;0,5567010309
deut4408;deut4408;6,5514;1;1;1;1
deut4408;deut4414;0,00940242;0,4635416667;0,1111111111;0,1333333333;0,5333333333
deut4408;deut4417;-0,00979214;0,2255434783;0,0128314799;0,1893939394;0,4166666667
deut4408;deut4419;0,01526078;0,3263888889;0,0133333333;0,2063492063;0,6031746032
deut4408;deut4420;0,01526078;0,3055555556;0,0132890365;0,21875;0,59375
deut4408;deut4445;-0,00979214;0,1979166667;0,0100334448;0,2368421053;0,4605263158
deut4408;deut4481;-0,02102853;0,3263888889;0,0049212598;0,203539823;0,4690265487
deut4408;deut4483;-0,00979214;0,2916666667;0,0116086235;0,2567567568;0,5675675676
deut4409;deut4409;6,5514;1;1;1;1
deut4409;deut4417;0,14325536;0,4732789855;0,0697463768;0,3181818182;0,4393939394
deut4409;deut4424;0,44328788;0,0986842105;0,0130718954;0,296875;0,390625
deut4409;deut4438;0,09354698;0,5378289474;0,0113636364;0,359375;0,625
deut4409;deut4449;0,04894322;0,3610197368;0;0,2916666667;0,475
deut4409;deut4450;0,04689072;0,3453947368;0;0,3181818182;0,5272727273
deut4409;deut4455;-0,04195563;0,3717105263;0,0740131579;0,28125;0,4375
deut4409;deut4456;0,29307436;0,0863486842;0,0032626427;0,28125;0,40625
deut4409;deut4463;0,19741212;0,0871710526;0;0,3125;0,578125
deut4409;deut4476;0,04783404;0,2154605263;0,0261437908;0,296875;0,53125
deut4410;deut4399;0,01072808;0,3733552632;0,1315789474;0,2307692308;0,5538461538
deut4410;deut4410;6,5514;1;1;1;1
deut4410;deut4417;-0,01536708;0,2364130435;0,0199275362;0,2121212121;0,4015151515
deut4410;deut4440;0,04401867;0,4638157895;0,0197368421;0,2280701754;0,5087719298
deut4410;deut4445;-0,01536708;0,1842105263;0,0327868852;0,25;0,4868421053
deut4410;deut4446;0,06446458;0,3026315789;0,1282894737;0,3214285714;0,5357142857
deut4410;deut4451;-0,0019911;0,4375;0,1217105263;0,3571428571;0,5892857143
deut4410;deut4466;0,0687651;0,2274816176;0,0114638448;0,3;0,48
deut4410;deut4483;-0,01536708;0,3220486111;0;0,2567567568;0,527027027
deut4410;deut4486;0,02501373;0,2730263158;0,0888157895;0,2678571429;0,5357142857
deut4411;deut4409;0,15386942;0,1398026316;0;0,15625;0,375
deut4411;deut4411;6,5514;1;1;1;1
deut4411;deut4416;0,18599695;0,3229166667;0,046875;0,1594202899;0,347826087
deut4411;deut4422;0,09686984;0,3854166667;0,1666666667;0,125;0,525
deut4411;deut4424;0,06684762;0,4479166667;0,1020408163;0,12;0,4
deut4411;deut4429;0,19559052;0,3717105263;0,0185185185;0,1785714286;0,5714285714
deut4411;deut4437;0,16817237;0,265625;0,0201342282;0,1481481481;0,4259259259
deut4411;deut4447;0,06447271;0,32421875;0,23828125;0,1451612903;0,3709677419
deut4411;deut4456;0,12673726;0,2604166667;0,0090909091;0,1724137931;0,5172413793
deut4411;deut4464;0,09943567;0,28515625;0;0,1571428571;0,3428571429
deut4412;deut4398;-0,06672953;0,3666666667;0,2450331126;0,3235294118;0,5441176471
deut4412;deut4404;-0,13206232;0,3819444444;0,0694444444;0,2708333333;0,5625
deut4412;deut4412;6,5514;1;1;1;1
deut4412;deut4426;-0,0635276;0,3993055556;0,0902777778;0,2916666667;0,6041666667
deut4412;deut4429;0,11368696;0,2171052632;0,0135135135;0,3333333333;0,5833333333
deut4412;deut4430;0,08317843;0,2638888889;0,0206896552;0,3333333333;0,5833333333
deut4412;deut4437;-0,04130577;0,3472222222;0,2222222222;0,3148148148;0,6111111111
deut4412;deut4446;-0,07757458;0,3125;0,0620689655;0,3125;0,6041666667
deut4412;deut4472;-0,0781153;0,2986111111;0,0138888889;0,3125;0,6875
deut4412;deut4491;0,09991221;0,3958333333;0,0186335404;0,3125;0,6041666667
deut4413;deut4409;-0,04148354;0,1332236842;0;0,296875;0,671875
deut4413;deut4413;6,5514;1;1;1;1
deut4413;deut4416;-0,05366899;0,2630208333;0,0152284264;0,2753623188;0,5652173913
deut4413;deut4434;-0,0693352;0,25;0,0103806228;0,2790697674;0,5581395349
deut4413;deut4439;-0,01809972;0,1049528302;0,0056116723;0,369047619;0,5476190476
deut4413;deut4464;-0,04804783;0,25;0,0062111801;0,2285714286;0,5857142857
deut4413;deut4470;-0,01029056;0,1666666667;0;0,3389830508;0,593220339
deut4413;deut4474;-0,04952438;0,2797619048;0,0518867925;0,2881355932;0,4745762712
deut4413;deut4475;0,02712258;0,1728515625;0,013618677;0,2826086957;0,4456521739
deut4413;deut4479;-0,08468083;0,3361111111;0,0875;0,2596153846;0,5096153846
deut4414;deut4414;6,5514;1;1;1;1
deut4414;deut4419;0,11310633;0,3145833333;0,0117647059;0,3015873016;0,5555555556
deut4414;deut4420;0,11310633;0,3041666667;0,0117647059;0,28125;0,5625
deut4414;deut4424;0,14652411;0,2333333333;0,0833333333;0,3;0,3833333333
deut4414;deut4438;0,24713014;0,3685344828;0,0040160643;0,3833333333;0,6
deut4414;deut4449;0,25773542;0,4010416667;0,25;0,3416666667;0,475
deut4414;deut4455;0,13351433;0,3777173913;0,0134228188;0,3333333333;0,4833333333
deut4414;deut4456;0,12398194;0,175;0,0625;0,2833333333;0,45
deut4414;deut4465;0,0832333;0,1833333333;0,0077220077;0,3414634146;0,5487804878
deut4414;deut4475;0,07160671;0,30859375;0,041015625;0,3804347826;0,4891304348
deut4415;deut4414;-0,01808426;0,1583333333;0;0,3833333333;0,5833333333
deut4415;deut4415;6,5514;1;1;1;1
deut4415;deut4438;-0,01808426;0,0689655172;0;0,3653846154;0,5576923077
deut4415;deut4448;-0,01686015;0,10625;0;0,2613636364;0,4659090909
deut4415;deut4449;-0,02075375;0,1067708333;0,0311688312;0,2333333333;0,3583333333
deut4415;deut4457;0,05160581;0,1041666667;0,015625;0,2903225806;0,4193548387
deut4415;deut4465;-0,01808426;0,1746031746;0,0555555556;0,2804878049;0,487804878
deut4415;deut4468;0,19141374;0,1858974359;0;0,2765957447;0,5957446809
deut4415;deut4469;0,05640951;0,1944444444;0;0,2898550725;0,5217391304
deut4415;deut4475;-0,01808426;0,0546875;0,013592233;0,2391304348;0,3695652174
deut4416;deut4401;0,18917049;0,2734375;0,15625;0,3043478261;0,3623188406
deut4416;deut4416;6,5514;1;1;1;1
deut4416;deut4424;0,67808093;0,2291666667;0,0520833333;0,2463768116;0,3623188406
deut4416;deut4438;0,15681822;0,2392241379;0,0101419878;0,3623188406;0,6086956522
deut4416;deut4439;0,47940861;0,1356132075;0,0110619469;0,3571428571;0,5714285714
deut4416;deut4443;0,12565656;0,3541666667;0,2760416667;0,3188405797;0,5362318841
deut4416;deut4458;0,15106376;0,2578125;0;0,2463768116;0,5652173913
deut4416;deut4477;0,12947686;0,3072916667;0,0097560976;0,347826087;0,5362318841
deut4416;deut4482;0,2516039;0,3385416667;0,1554404145;0,3623188406;0,5797101449
deut4416;deut4495;0,29855362;0,265625;0;0,3768115942;0,5217391304
deut4417;deut4417;6,5514;1;1;1;1
deut4417;deut4424;0,9483562;0,053442029;0,0225631769;0,1666666667;0,1893939394
deut4417;deut4431;0,14847208;0,1186594203;0,0235507246;0,2121212121;0,2424242424
deut4417;deut4438;0,167635;0,3903985507;0,1748188406;0,2727272727;0,3863636364
deut4417;deut4445;0,05301304;0,0643115942;0,0008810573;0,3636363636;0,4924242424
deut4417;deut4452;-0,00462963;0,0634057971;0,0097777778;0,2121212121;0,2954545455
deut4417;deut4454;-0,01190476;0,0634057971;0,0180505415;0,1893939394;0,2348484848
deut4417;deut4463;0,20348333;0,0525362319;0,0017699115;0,2878787879;0,3939393939
deut4417;deut4476;0,07536427;0,1222826087;0,0180505415;0,2575757576;0,3484848485
deut4417;deut4483;0,10264856;0,2133152174;0,0180668473;0,3484848485;0,5303030303
deut4418;deut4418;6,5514;1;1;1;1
deut4418;deut4434;-0,05790931;0,375;0;0,3255813953;0,4302325581
deut4418;deut4445;0,2499848;0,0787037037;0;0,3947368421;0,5263157895
deut4418;deut4484;0,04591586;0,178030303;0,0977443609;0,297029703;0,3663366337
deut4418;deut4487;-0,04021722;0,3564814815;0,0448430493;0,25;0,5454545455
deut4418;deut4488;-0,03335086;0,2476851852;0,015037594;0,2586206897;0,4482758621
deut4418;deut4493;-0,03335086;0,3032407407;0,0165289256;0,2037037037;0,3703703704
deut4418;deut4494;-0,03335086;0,2824074074;0,008;0,2413793103;0,4655172414
deut4418;deut4498;-0,03335086;0,2731481481;0,0325203252;0,2413793103;0,4137931034
deut4418;deut4499;-0,02562332;0,3564814815;0,0135746606;0,25;0,5
deut4419;deut4414;0,11310633;0,3145833333;0,0117647059;0,3015873016;0,5555555556
deut4419;deut4419;6,5514;1;1;1;1
deut4419;deut4420;5,71527146;0,959375;0,91875;0,9375;0,96875
deut4419;deut4424;0,18382144;0,30625;0,1875;0,2698412698;0,3333333333
deut4419;deut4438;0,19217048;0,2058189655;0;0,3492063492;0,5714285714
deut4419;deut4449;0,11872222;0,2786458333;0,0859375;0,25;0,4333333333
deut4419;deut4450;0,05896851;0,2942708333;0,1067708333;0,2909090909;0,5363636364
deut4419;deut4455;0,12990733;0,1711956522;0,0159817352;0,2857142857;0,4126984127
deut4419;deut4456;0,15554122;0,253125;0,06875;0,3174603175;0,4285714286
deut4419;deut4465;0,04912504;0,228125;0,011627907;0,3292682927;0,5731707317
deut4420;deut4414;0,11310633;0,3041666667;0,0117647059;0,28125;0,5625
deut4420;deut4419;5,71527146;0,959375;0,91875;0,9375;0,96875
deut4420;deut4420;6,5514;1;1;1;1
deut4420;deut4424;0,18382144;0,29375;0,13125;0,265625;0,328125
deut4420;deut4438;0,19217048;0,1842672414;0;0,34375;0,5625
deut4420;deut4449;0,11677595;0,2721354167;0,0859375;0,25;0,45
deut4420;deut4450;0,05800182;0,2838541667;0,1067708333;0,2909090909;0,5454545455
deut4420;deut4455;0,12990733;0,1467391304;0,0159090909;0,265625;0,40625
deut4420;deut4456;0,15554122;0,246875;0,06875;0,3125;0,421875
deut4420;deut4465;0,04831971;0,228125;0,0177514793;0,3292682927;0,5853658537
deut4421;deut4401;0,37448076;0,28515625;0,0392156863;0,28;0,52
deut4421;deut4407;0,17368555;0,277173913;0,125;0,2087912088;0,2747252747
deut4421;deut4421;6,5514;1;1;1;1
deut4421;deut4443;1,11306485;0,171875;0,015625;0,3617021277;0,5319148936
deut4421;deut4453;0,37152701;0,32421875;0,025974026;0,3103448276;0,5862068966
deut4421;deut4458;0,08482661;0,2838541667;0,0086956522;0,2835820896;0,3731343284
deut4421;deut4459;-0,07087526;0,2395833333;0,0854166667;0,2533333333;0,3333333333
deut4421;deut4471;0,42891515;0,2708333333;0,0114503817;0,1777777778;0,2777777778
deut4421;deut4477;0,10953639;0,3671875;0;0,3617021277;0,4893617021
deut4421;deut4482;0,06896891;0,26171875;0,0188679245;0,2727272727;0,4772727273
deut4422;deut4409;0,04512549;0,2450657895;0;0,296875;0,53125
deut4422;deut4416;0,07462463;0,2604166667;0;0,2463768116;0,5072463768
deut4422;deut4422;6,5514;1;1;1;1
deut4422;deut4428;0,04952353;0,2994791667;0,056122449;0,3;0,475
deut4422;deut4437;0,05193565;0,3125;0;0,2962962963;0,5555555556
deut4422;deut4443;0,04024595;0,3515625;0,0051020408;0,4042553191;0,6382978723
deut4422;deut4464;0,08320684;0,2265625;0;0,1714285714;0,5142857143
deut4422;deut4465;0,09444823;0,234375;0;0,3048780488;0,4756097561
deut4422;deut4468;0,03536231;0,3376736111;0,0153061224;0,1489361702;0,5957446809
deut4422;deut4491;0,03639967;0,3489583333;0,0396475771;0,225;0,65
deut4423;deut4423;6,5514;1;1;1;1
deut4423;deut4427;0,03099906;0,0675;0;0,3333333333;0,5476190476
deut4423;deut4442;-0,02491015;0,21125;0,0114678899;0,2619047619;0,4523809524
deut4423;deut4443;0,32246613;0,1925;0,0045351474;0,2857142857;0,4642857143
deut4423;deut4444;0,07179644;0,37875;0,0055147059;0,2738095238;0,5238095238
deut4423;deut4454;0,1168412;0,1475;0,0119331742;0,2857142857;0,369047619
deut4423;deut4463;0,34581434;0,115;0;0,380952381;0,5238095238
deut4423;deut4465;0,17697094;0,1525;0;0,3095238095;0,5238095238
deut4423;deut4477;0,34301819;0,32125;0,0461165049;0,3571428571;0,5357142857
deut4423;deut4482;0,13023829;0,2025;0,0067873303;0,2976190476;0,4761904762
deut4424;deut4419;0,18382144;0,30625;0,1875;0,2698412698;0,3333333333
deut4424;deut4420;0,18382144;0,29375;0,13125;0,265625;0,328125
deut4424;deut4424;6,5514;1;1;1;1
deut4424;deut4438;0,54262026;0,1163793103;0,0404255319;0,3269230769;0,4038461538
deut4424;deut4449;0,34938498;0,1614583333;0,140625;0,2;0,2083333333
deut4424;deut4450;0,49599621;0,1666666667;0,1432291667;0,1909090909;0,2272727273
deut4424;deut4456;0,60471515;0,1484375;0,0128205128;0,4482758621;0,6206896552
deut4424;deut4465;0,23976956;0,2380952381;0;0,256097561;0,3048780488
deut4424;deut4475;0,21767025;0,103515625;0,0639534884;0,1956521739;0,2717391304
deut4424;deut4495;0,65634137;0,3409090909;0,1590909091;0,3;0,475
deut4425;deut4400;-0,01893939;0,2857142857;0,125;0,2680412371;0,412371134
deut4425;deut4417;-0,00757576;0,1014492754;0,0388086643;0,2651515152;0,3560606061
deut4425;deut4425;6,5514;1;1;1;1
deut4425;deut4440;-0,02272727;0,3253968254;0,0674603175;0,350877193;0,5087719298
deut4425;deut4445;-0,00757576;0,1015625;0,0064516129;0,3684210526;0,4868421053
deut4425;deut4452;-0,01388889;0,2578125;0,023255814;0,2765957447;0,5106382979
deut4425;deut4463;0,02780751;0,1171875;0,0066666667;0,358490566;0,5660377358
deut4425;deut4472;0,06200016;0,234375;0,0387596899;0,2765957447;0,5106382979
deut4425;deut4476;-0,00775194;0,2875;0,0476190476;0,2978723404;0,5531914894
deut4425;deut4483;0,07326206;0,1388888889;0,0850694444;0,3918918919;0,5540540541
deut4426;deut4412;-0,0635276;0,3993055556;0,0902777778;0,2916666667;0,6041666667
deut4426;deut4423;0,03936786;0,215;3,33066907387547E-16;0,3452380952;0,5238095238
deut4426;deut4425;0,03538327;0,34375;1,11022302462516E-16;0,3958333333;0,5416666667
deut4426;deut4426;6,5514;1;1;1;1
deut4426;deut4446;-0,04338699;0,2578125;0,0291970803;0,3541666667;0,5833333333
deut4426;deut4472;0,04961194;0,3035714286;0,0625;0,3541666667;0,5208333333
deut4426;deut4477;0,03268682;0,375;0,1510416667;0,3333333333;0,5625
deut4426;deut4482;0,0477631;0,425;0,25;0,4375;0,6041666667
deut4426;deut4483;0,0091732;0,1267361111;0,0532646048;0,3513513514;0,472972973
deut4426;deut4489;-0,02803384;0,37109375;0,2265625;0,3333333333;0,5
deut4427;deut4423;0,03099906;0,0675;0;0,3333333333;0,5476190476
deut4427;deut4427;6,5514;1;1;1;1
deut4427;deut4428;0,44064144;0,0824742268;0,007518797;0,3648648649;0,4864864865
deut4427;deut4431;-0,04763298;0,1597222222;0;0,2972972973;0,3918918919
deut4427;deut4442;0,19016261;0,1666666667;0,0206896552;0,3513513514;0,5675675676
deut4427;deut4444;0,06530869;0,1458333333;0;0,3076923077;0,5512820513
deut4427;deut4453;0,24405964;0,09375;0;0,2837837838;0,3783783784
deut4427;deut4454;-0,05104928;0,03125;0,0083333333;0,2567567568;0,3918918919
deut4427;deut4474;0,08242059;0,1607142857;0,00456621;0,2972972973;0,4189189189
deut4427;deut4485;0,0571351;0,1041666667;0,0114285714;0,2567567568;0,4594594595
deut4428;deut4416;0,34649239;0,2291666667;0,109375;0,2898550725;0,5072463768
deut4428;deut4427;0,44064144;0,0824742268;0,007518797;0,3648648649;0,4864864865
deut4428;deut4428;6,5514;1;1;1;1
deut4428;deut4437;0,67053915;0,34375;0,140625;0,3333333333;0,537037037
deut4428;deut4439;-0,04458198;0,0778301887;0,0281030445;0,3095238095;0,4285714286
deut4428;deut4442;0,05843559;0,3166666667;0,125;0,2653061224;0,4693877551
deut4428;deut4443;0,27202789;0,3416666667;0,1166666667;0,2978723404;0,4680851064
deut4428;deut4453;0,37632609;0,2447916667;0;0,375;0,525
deut4428;deut4474;0,26176312;0,2678571429;0,0257731959;0,4;0,475
deut4428;deut4477;-0,03126653;0,2864583333;0,1510416667;0,4042553191;0,5106382979
deut4429;deut4398;-0,05909612;0,3466666667;0,09;0,2794117647;0,4117647059
deut4429;deut4404;-0,0685029;0,2993421053;3,33066907387547E-16;0,4642857143;0,6428571429
deut4429;deut4412;0,11368696;0,2171052632;0,0135135135;0,3333333333;0,5833333333
deut4429;deut4425;0,0300303;0,1578947368;0,0111731844;0,2765957447;0,4468085106
deut4429;deut4429;6,5514;1;1;1;1
deut4429;deut4430;3,55403942;0,1118421053;0;1;1
deut4429;deut4437;0,129408;0,0921052632;0,0138248848;0,2777777778;0,462962963
deut4429;deut4446;-0,09819153;0,2269736842;0;0,4523809524;0,619047619
deut4429;deut4472;-0,05146899;0,2236842105;2,22044604925031E-16;0,358974359;0,5897435897
deut4429;deut4491;0,16635687;0,1743421053;0;0,4054054054;0,6216216216
deut4430;deut4398;-0,02858759;0,13;0,0299003322;0,2794117647;0,4117647059
deut4430;deut4404;-0,03672319;0,2109375;0;0,4642857143;0,6428571429
deut4430;deut4412;0,08317843;0,2638888889;0,0206896552;0,3333333333;0,5833333333
deut4430;deut4425;0,01958057;0,1953125;3,33066907387547E-16;0,2765957447;0,4468085106
deut4430;deut4429;3,55403942;0,1118421053;0;1;1
deut4430;deut4430;6,5514;1;1;1;1
deut4430;deut4437;-0,04384186;0,265625;0,0852713178;0,2777777778;0,462962963
deut4430;deut4446;-0,0905644;0,28125;0,0310077519;0,4523809524;0,619047619
deut4430;deut4472;-0,02096046;0,225;0;0,358974359;0,5897435897
deut4430;deut4491;0,12059409;0,234375;0,0775193798;0,4054054054;0,6216216216
deut4431;deut4399;0,01783218;0,3619791667;0;0,3230769231;0,4615384615
deut4431;deut4417;0,14847208;0,1186594203;0,0235507246;0,2121212121;0,2424242424
deut4431;deut4431;6,5514;1;1;1;1
deut4431;deut4440;0,33424879;0,4880952381;0,3531746032;0,4385964912;0,5438596491
deut4431;deut4454;0,29653162;0,3541666667;0,0337837838;0,3125;0,5625
deut4431;deut4455;0,0744015;0,2554347826;0,0076142132;0,34375;0,59375
deut4431;deut4456;0,42989181;0,2083333333;0,0058479532;0,4375;0,59375
deut4431;deut4463;0,15621777;0,1875;1,11022302462516E-16;0,4339622642;0,5094339623
deut4431;deut4476;1,12236542;0,43125;0,0693641618;0,5434782609;0,652173913
deut4431;deut4483;0,04141149;0,1987847222;0,1006944444;0,3513513514;0,4189189189
deut4432;deut4406;0,11051927;0,3235294118;0,115942029;0,3947368421;0,5789473684
deut4432;deut4432;6,5514;1;1;1;1
deut4432;deut4440;-0,03227942;0,4007936508;0,2301587302;0,3333333333;0,4561403509
deut4432;deut4442;0,03629508;0,375;0,0075757576;0,3265306122;0,5102040816
deut4432;deut4472;-0,08748663;0,3046875;0;0,3846153846;0,5897435897
deut4432;deut4477;0,18319398;0,4427083333;0,21875;0,3404255319;0,5531914894
deut4432;deut4490;-0,04026688;0,421875;0,03125;0,3148148148;0,4814814815
deut4432;deut4492;-0,04026688;0,3854166667;0,0358974359;0,275862069;0,4655172414
deut4432;deut4496;-0,04026688;0,3385416667;0,0141509434;0,3035714286;0,4642857143
deut4432;deut4500;-0,04026688;0,3125;0,0074074074;0,3170731707;0,5609756098
deut4433;deut4433;6,5514;1;1;1;1
