k1;k3;similarity
0.1;0.1;0.331
0.2;0.1;0.331
0.3;0.1;0.331
0.4;0.1;0.331
0.5;0.1;0.331
0.6;0.1;0.331
0.7;0.1;0.331
0.8;0.1;0.331
0.9;0.1;0.331
1;0.1;0.331
0.1;0.2;0.375
0.2;0.2;0.332
0.3;0.2;0.332
0.4;0.2;0.332
0.5;0.2;0.332
0.6;0.2;0.332
0.7;0.2;0.332
0.8;0.2;0.332
0.9;0.2;0.332
1;0.2;0.332
0.1;0.3;0.392
0.2;0.3;0.361
0.3;0.3;0.332
0.4;0.3;0.332
0.5;0.3;0.332
0.6;0.3;0.332
0.7;0.3;0.332
0.8;0.3;0.332
0.9;0.3;0.332
1;0.3;0.332
0.1;0.4;0.404
0.2;0.4;0.378
0.3;0.4;0.354
0.4;0.4;0.333
0.5;0.4;0.333
0.6;0.4;0.333
0.7;0.4;0.333
0.8;0.4;0.333
0.9;0.4;0.333
1;0.4;0.333
0.1;0.5;0.412
0.2;0.5;0.390
0.3;0.5;0.369
0.4;0.5;0.350
0.5;0.5;0.333
0.6;0.5;0.333
0.7;0.5;0.333
0.8;0.5;0.333
0.9;0.5;0.333
1;0.5;0.333
0.1;0.6;0.418
0.2;0.6;0.399
0.3;0.6;0.380
0.4;0.6;0.363
0.5;0.6;0.347
0.6;0.6;0.333
0.7;0.6;0.333
0.8;0.6;0.333
0.9;0.6;0.333
1;0.6;0.333
0.1;0.7;0.429
0.2;0.7;0.406
0.3;0.7;0.390
0.4;0.7;0.374
0.5;0.7;0.359
0.6;0.7;0.345
0.7;0.7;0.333
0.8;0.7;0.333
0.9;0.7;0.333
1;0.7;0.333
0.1;0.8;0.443
0.2;0.8;0.417
0.3;0.8;0.397
0.4;0.8;0.383
0.5;0.8;0.368
0.6;0.8;0.355
0.7;0.8;0.344
0.8;0.8;0.333
0.9;0.8;0.333
1;0.8;0.333
0.1;0.9;0.457
0.2;0.9;0.431
0.3;0.9;0.407
0.4;0.9;0.390
0.5;0.9;0.377
0.6;0.9;0.365
0.7;0.9;0.353
0.8;0.9;0.343
0.9;0.9;0.333
1;0.9;0.333
0.1;1;0.472
0.2;1;0.445
0.3;1;0.421
0.4;1;0.400
0.5;1;0.384
0.6;1;0.373
0.7;1;0.361
0.8;1;0.351
0.9;1;0.342
1;1;0.333
