k1;k3;similarity
0.1;0.1;0.000
0.2;0.1;0.000
0.3;0.1;0.000
0.4;0.1;0.006
0.5;0.1;0.006
0.6;0.1;0.006
0.7;0.1;0.006
0.8;0.1;0.006
0.9;0.1;0.006
1;0.1;0.006
0.1;0.2;0.326
0.2;0.2;0.035
0.3;0.2;0.004
0.4;0.2;0.014
0.5;0.2;0.017
0.6;0.2;0.017
0.7;0.2;0.017
0.8;0.2;0.017
0.9;0.2;0.020
1;0.2;0.023
0.1;0.3;0.456
0.2;0.3;0.251
0.3;0.3;0.057
0.4;0.3;0.005
0.5;0.3;0.019
0.6;0.3;0.021
0.7;0.3;0.025
0.8;0.3;0.025
0.9;0.3;0.025
1;0.3;0.025
0.1;0.4;0.523
0.2;0.4;0.367
0.3;0.4;0.214
0.4;0.4;0.068
0.5;0.4;0.010
0.6;0.4;0.016
0.7;0.4;0.023
0.8;0.4;0.025
0.9;0.4;0.028
1;0.4;0.028
0.1;0.5;0.569
0.2;0.5;0.441
0.3;0.5;0.314
0.4;0.5;0.191
0.5;0.5;0.075
0.6;0.5;0.023
0.7;0.5;0.015
0.8;0.5;0.023
0.9;0.5;0.026
1;0.5;0.026
0.1;0.6;0.601
0.2;0.6;0.491
0.3;0.6;0.385
0.4;0.6;0.280
0.5;0.6;0.176
0.6;0.6;0.095
0.7;0.6;0.041
0.8;0.6;0.014
0.9;0.6;0.021
1;0.6;0.025
0.1;0.7;0.628
0.2;0.7;0.532
0.3;0.7;0.437
0.4;0.7;0.346
0.5;0.7;0.256
0.6;0.7;0.176
0.7;0.7;0.109
0.8;0.7;0.059
0.9;0.7;0.019
1;0.7;0.020
0.1;0.8;0.652
0.2;0.8;0.566
0.3;0.8;0.481
0.4;0.8;0.397
0.5;0.8;0.316
0.6;0.8;0.246
0.7;0.8;0.178
0.8;0.8;0.120
0.9;0.8;0.074
1;0.8;0.035
0.1;0.9;0.670
0.2;0.9;0.594
0.3;0.9;0.518
0.4;0.9;0.442
0.5;0.9;0.366
0.6;0.9;0.303
0.7;0.9;0.240
0.8;0.9;0.180
0.9;0.9;0.128
1;0.9;0.087
0.1;1;0.685
0.2;1;0.616
0.3;1;0.548
0.4;1;0.480
0.5;1;0.411
0.6;1;0.348
0.7;1;0.292
0.8;1;0.236
0.9;1;0.182
1;1;0.135
