k1;k3;similarity
0.1;0.1;0.944
0.2;0.1;0.931
0.3;0.1;0.919
0.4;0.1;0.919
0.5;0.1;0.919
0.6;0.1;0.919
0.7;0.1;0.919
0.8;0.1;0.919
0.9;0.1;0.919
1;0.1;0.919
0.1;0.2;0.953
0.2;0.2;0.947
0.3;0.2;0.941
0.4;0.2;0.934
0.5;0.2;0.928
0.6;0.2;0.922
0.7;0.2;0.922
0.8;0.2;0.922
0.9;0.2;0.922
1;0.2;0.922
0.1;0.3;0.956
0.2;0.3;0.952
0.3;0.3;0.948
0.4;0.3;0.944
0.5;0.3;0.940
0.6;0.3;0.935
0.7;0.3;0.931
0.8;0.3;0.927
0.9;0.3;0.923
1;0.3;0.923
0.1;0.4;0.958
0.2;0.4;0.955
0.3;0.4;0.952
0.4;0.4;0.948
0.5;0.4;0.945
0.6;0.4;0.942
0.7;0.4;0.939
0.8;0.4;0.936
0.9;0.4;0.933
1;0.4;0.930
0.1;0.5;0.959
0.2;0.5;0.956
0.3;0.5;0.954
0.4;0.5;0.951
0.5;0.5;0.949
0.6;0.5;0.946
0.7;0.5;0.944
0.8;0.5;0.941
0.9;0.5;0.939
1;0.5;0.936
0.1;0.6;0.959
0.2;0.6;0.957
0.3;0.6;0.955
0.4;0.6;0.953
0.5;0.6;0.951
0.6;0.6;0.949
0.7;0.6;0.947
0.8;0.6;0.945
0.9;0.6;0.943
1;0.6;0.941
0.1;0.7;0.960
0.2;0.7;0.958
0.3;0.7;0.956
0.4;0.7;0.954
0.5;0.7;0.953
0.6;0.7;0.951
0.7;0.7;0.949
0.8;0.7;0.947
0.9;0.7;0.946
1;0.7;0.944
0.1;0.8;0.960
0.2;0.8;0.959
0.3;0.8;0.957
0.4;0.8;0.955
0.5;0.8;0.954
0.6;0.8;0.952
0.7;0.8;0.951
0.8;0.8;0.949
0.9;0.8;0.948
1;0.8;0.946
0.1;0.9;0.960
0.2;0.9;0.959
0.3;0.9;0.958
0.4;0.9;0.956
0.5;0.9;0.955
0.6;0.9;0.953
0.7;0.9;0.952
0.8;0.9;0.951
0.9;0.9;0.949
1;0.9;0.948
0.1;1;0.961
0.2;1;0.959
0.3;1;0.958
0.4;1;0.957
0.5;1;0.956
0.6;1;0.954
0.7;1;0.953
0.8;1;0.952
0.9;1;0.951
1;1;0.949
