k1;k3;similarity
0.1;0.1;0.000
0.2;0.1;0.000
0.3;0.1;0.000
0.4;0.1;0.000
0.5;0.1;0.000
0.6;0.1;0.000
0.7;0.1;0.000
0.8;0.1;0.000
0.9;0.1;0.000
1;0.1;0.000
0.1;0.2;0.023
0.2;0.2;0.000
0.3;0.2;0.000
0.4;0.2;0.000
0.5;0.2;0.000
0.6;0.2;0.000
0.7;0.2;0.000
0.8;0.2;0.000
0.9;0.2;0.000
1;0.2;0.000
0.1;0.3;0.104
0.2;0.3;0.015
0.3;0.3;0.000
0.4;0.3;0.000
0.5;0.3;0.000
0.6;0.3;0.000
0.7;0.3;0.000
0.8;0.3;0.000
0.9;0.3;0.000
1;0.3;0.000
0.1;0.4;0.180
0.2;0.4;0.070
0.3;0.4;0.011
0.4;0.4;0.000
0.5;0.4;0.000
0.6;0.4;0.000
0.7;0.4;0.000
0.8;0.4;0.000
0.9;0.4;0.000
1;0.4;0.000
0.1;0.5;0.247
0.2;0.5;0.153
0.3;0.5;0.072
0.4;0.5;0.009
0.5;0.5;0.000
0.6;0.5;0.000
0.7;0.5;0.000
0.8;0.5;0.000
0.9;0.5;0.000
1;0.5;0.000
0.1;0.6;0.297
0.2;0.6;0.221
0.3;0.6;0.154
0.4;0.6;0.090
0.5;0.6;0.038
0.6;0.6;0.000
0.7;0.6;0.000
0.8;0.6;0.000
0.9;0.6;0.000
1;0.6;0.000
0.1;0.7;0.355
0.2;0.7;0.275
0.3;0.7;0.220
0.4;0.7;0.173
0.5;0.7;0.131
0.6;0.7;0.090
0.7;0.7;0.056
0.8;0.7;0.040
0.9;0.7;0.029
1;0.7;0.018
0.1;0.8;0.404
0.2;0.8;0.330
0.3;0.8;0.280
0.4;0.8;0.237
0.5;0.8;0.202
0.6;0.8;0.167
0.7;0.8;0.137
0.8;0.8;0.115
0.9;0.8;0.102
1;0.8;0.088
0.1;0.9;0.450
0.2;0.9;0.385
0.3;0.9;0.332
0.4;0.9;0.296
0.5;0.9;0.263
0.6;0.9;0.236
0.7;0.9;0.215
0.8;0.9;0.194
0.9;0.9;0.175
1;0.9;0.163
0.1;1;0.491
0.2;1;0.430
0.3;1;0.380
0.4;1;0.345
0.5;1;0.316
0.6;1;0.297
0.7;1;0.278
0.8;1;0.259
0.9;1;0.241
1;1;0.223
