k1;k3;similarity
0.1;0.1;0.156
0.2;0.1;0.092
0.3;0.1;0.072
0.4;0.1;0.072
0.5;0.1;0.072
0.6;0.1;0.072
0.7;0.1;0.072
0.8;0.1;0.072
0.9;0.1;0.072
1;0.1;0.072
0.1;0.2;0.283
0.2;0.2;0.179
0.3;0.2;0.146
0.4;0.2;0.133
0.5;0.2;0.126
0.6;0.2;0.124
0.7;0.2;0.124
0.8;0.2;0.124
0.9;0.2;0.124
1;0.2;0.124
0.1;0.3;0.355
0.2;0.3;0.255
0.3;0.3;0.187
0.4;0.3;0.171
0.5;0.3;0.163
0.6;0.3;0.156
0.7;0.3;0.152
0.8;0.3;0.151
0.9;0.3;0.149
1;0.3;0.149
0.1;0.4;0.415
0.2;0.4;0.312
0.3;0.4;0.243
0.4;0.4;0.194
0.5;0.4;0.184
0.6;0.4;0.178
0.7;0.4;0.172
0.8;0.4;0.167
0.9;0.4;0.166
1;0.4;0.164
0.1;0.5;0.462
0.2;0.5;0.370
0.3;0.5;0.290
0.4;0.5;0.236
0.5;0.5;0.199
0.6;0.5;0.192
0.7;0.5;0.186
0.8;0.5;0.182
0.9;0.5;0.178
1;0.5;0.174
0.1;0.6;0.497
0.2;0.6;0.416
0.3;0.6;0.339
0.4;0.6;0.275
0.5;0.6;0.232
0.6;0.6;0.203
0.7;0.6;0.197
0.8;0.6;0.192
0.9;0.6;0.189
1;0.6;0.185
0.1;0.7;0.530
0.2;0.7;0.452
0.3;0.7;0.384
0.4;0.7;0.319
0.5;0.7;0.267
0.6;0.7;0.231
0.7;0.7;0.206
0.8;0.7;0.200
0.9;0.7;0.197
1;0.7;0.194
0.1;0.8;0.560
0.2;0.8;0.487
0.3;0.8;0.421
0.4;0.8;0.362
0.5;0.8;0.306
0.6;0.8;0.262
0.7;0.8;0.230
0.8;0.8;0.208
0.9;0.8;0.203
1;0.8;0.200
0.1;0.9;0.586
0.2;0.9;0.520
0.3;0.9;0.456
0.4;0.9;0.398
0.5;0.9;0.345
0.6;0.9;0.297
0.7;0.9;0.257
0.8;0.9;0.229
0.9;0.9;0.209
1;0.9;0.205
0.1;1;0.610
0.2;1;0.548
0.3;1;0.488
0.4;1;0.431
0.5;1;0.380
0.6;1;0.333
0.7;1;0.290
0.8;1;0.254
0.9;1;0.228
1;1;0.211
