k1;k3;similarity
0.1;0.1;0.594
0.2;0.1;0.508
0.3;0.1;0.422
0.4;0.1;0.372
0.5;0.1;0.331
0.6;0.1;0.321
0.7;0.1;0.311
0.8;0.1;0.311
0.9;0.1;0.311
1;0.1;0.311
0.1;0.2;0.723
0.2;0.2;0.617
0.3;0.2;0.574
0.4;0.2;0.531
0.5;0.2;0.488
0.6;0.2;0.445
0.7;0.2;0.420
0.8;0.2;0.399
0.9;0.2;0.378
1;0.2;0.358
0.1;0.3;0.779
0.2;0.3;0.690
0.3;0.3;0.625
0.4;0.3;0.596
0.5;0.3;0.568
0.6;0.3;0.539
0.7;0.3;0.510
0.8;0.3;0.482
0.9;0.3;0.453
1;0.3;0.436
0.1;0.4;0.807
0.2;0.4;0.740
0.3;0.4;0.674
0.4;0.4;0.629
0.5;0.4;0.607
0.6;0.4;0.586
0.7;0.4;0.564
0.8;0.4;0.543
0.9;0.4;0.521
1;0.4;0.500
0.1;0.5;0.823
0.2;0.5;0.770
0.3;0.5;0.717
0.4;0.5;0.664
0.5;0.5;0.631
0.6;0.5;0.614
0.7;0.5;0.597
0.8;0.5;0.580
0.9;0.5;0.562
1;0.5;0.545
0.1;0.6;0.840
0.2;0.6;0.796
0.3;0.6;0.751
0.4;0.6;0.707
0.5;0.6;0.665
0.6;0.6;0.633
0.7;0.6;0.618
0.8;0.6;0.604
0.9;0.6;0.590
1;0.6;0.576
0.1;0.7;0.856
0.2;0.7;0.814
0.3;0.7;0.776
0.4;0.7;0.740
0.5;0.7;0.704
0.6;0.7;0.669
0.7;0.7;0.637
0.8;0.7;0.623
0.9;0.7;0.609
1;0.7;0.597
0.1;0.8;0.870
0.2;0.8;0.832
0.3;0.8;0.796
0.4;0.8;0.765
0.5;0.8;0.733
0.6;0.8;0.702
0.7;0.8;0.671
0.8;0.8;0.644
0.9;0.8;0.631
1;0.8;0.619
0.1;0.9;0.882
0.2;0.9;0.849
0.3;0.9;0.816
0.4;0.9;0.784
0.5;0.9;0.756
0.6;0.9;0.728
0.7;0.9;0.701
0.8;0.9;0.673
0.9;0.9;0.648
1;0.9;0.637
0.1;1;0.892
0.2;1;0.863
0.3;1;0.833
0.4;1;0.803
0.5;1;0.774
0.6;1;0.749
0.7;1;0.724
0.8;1;0.699
0.9;1;0.674
1;1;0.652
