k1;k3;similarity
0.1;0.1;0.207
0.2;0.1;0.171
0.3;0.1;0.151
0.4;0.1;0.151
0.5;0.1;0.151
0.6;0.1;0.151
0.7;0.1;0.151
0.8;0.1;0.151
0.9;0.1;0.151
1;0.1;0.151
0.1;0.2;0.303
0.2;0.2;0.222
0.3;0.2;0.201
0.4;0.2;0.187
0.5;0.2;0.178
0.6;0.2;0.168
0.7;0.2;0.168
0.8;0.2;0.168
0.9;0.2;0.168
1;0.2;0.168
0.1;0.3;0.377
0.2;0.3;0.294
0.3;0.3;0.235
0.4;0.3;0.217
0.5;0.3;0.208
0.6;0.3;0.202
0.7;0.3;0.195
0.8;0.3;0.193
0.9;0.3;0.191
1;0.3;0.189
0.1;0.4;0.433
0.2;0.4;0.359
0.3;0.4;0.296
0.4;0.4;0.249
0.5;0.4;0.237
0.6;0.4;0.229
0.7;0.4;0.224
0.8;0.4;0.222
0.9;0.4;0.220
1;0.4;0.219
0.1;0.5;0.472
0.2;0.5;0.407
0.3;0.5;0.347
0.4;0.5;0.297
0.5;0.5;0.263
0.6;0.5;0.251
0.7;0.5;0.246
0.8;0.5;0.241
0.9;0.5;0.238
1;0.5;0.237
0.1;0.6;0.502
0.2;0.6;0.444
0.3;0.6;0.389
0.4;0.6;0.340
0.5;0.6;0.298
0.6;0.6;0.271
0.7;0.6;0.262
0.8;0.6;0.258
0.9;0.6;0.253
1;0.6;0.249
0.1;0.7;0.537
0.2;0.7;0.474
0.3;0.7;0.424
0.4;0.7;0.377
0.5;0.7;0.335
0.6;0.7;0.299
0.7;0.7;0.278
0.8;0.7;0.270
0.9;0.7;0.266
1;0.7;0.262
0.1;0.8;0.567
0.2;0.8;0.507
0.3;0.8;0.452
0.4;0.8;0.409
0.5;0.8;0.368
0.6;0.8;0.331
0.7;0.8;0.301
0.8;0.8;0.282
0.9;0.8;0.275
1;0.8;0.272
0.1;0.9;0.595
0.2;0.9;0.538
0.3;0.9;0.485
0.4;0.9;0.436
0.5;0.9;0.397
0.6;0.9;0.360
0.7;0.9;0.327
0.8;0.9;0.303
0.9;0.9;0.286
1;0.9;0.280
0.1;1;0.619
0.2;1;0.566
0.3;1;0.514
0.4;1;0.466
0.5;1;0.422
0.6;1;0.388
0.7;1;0.355
0.8;1;0.326
0.9;1;0.304
1;1;0.289
